2370971	 1947.0	 1084.0	  671.0	...
2370972	 1948.0	 1084.0	  670.0	...
2370973	 1948.0	 1084.0	  670.0	...
2370974	 1947.0	 1084.0	  671.0	...
2370975	 1947.0	 1085.0	  671.0	...
2370976	 1946.0	 1086.0	  671.0	...
2370977	 1946.0	 1086.0	  671.0	...
2370978	 1946.0	 1086.0	  672.0	...
2370979	 1946.0	 1086.0	  672.0	...
2370980	 1947.0	 1085.0	  673.0	...
2370981	 1946.0	 1085.0	  671.0	...
2370982	 1946.0	 1085.0	  668.0	...
2370983	 1946.0	 1084.0	  666.0	...
2370984	 1946.0	 1083.0	  666.0	...
2370985	 1946.0	 1082.0	  667.0	...
2370986	 1947.0	 1082.0	  667.0	...
2370987	 1946.0	 1082.0	  667.0	...
2370988	 1946.0	 1082.0	  667.0	...
2370989	 1946.0	 1082.0	  667.0	...
2370990	 1945.0	 1082.0	  667.0	...
2370991	 1945.0	 1081.0	  668.0	...
2370992	 1946.0	 1081.0	  668.0	...
2370993	 1945.0	 1081.0	  667.0	...
2370994	 1945.0	 1080.0	  666.0	...
2370995	 1945.0	 1079.0	  666.0	...
2370996	 1944.0	 1080.0	  666.0	...
2370997	 1944.0	 1080.0	  667.0	...
2370998	 1944.0	 1079.0	  667.0	...
2370999	 1945.0	 1080.0	  665.0	...
2371000	 1945.0	 1079.0	  664.0	...
2371001	 1945.0	 1080.0	  663.0	...
2371002	 1945.0	 1079.0	  663.0	...
2371003	 1944.0	 1079.0	  663.0	...
2371004	 1944.0	 1078.0	  664.0	...
2371005	 1943.0	 1078.0	  665.0	...
2371006	 1943.0	 1078.0	  666.0	...
2371007	 1943.0	 1077.0	  666.0	...
2371008	 1943.0	 1077.0	  665.0	...
2371009	 1943.0	 1078.0	  665.0	...
2371010	 1943.0	 1079.0	  665.0	...
2371011	 1943.0	 1080.0	  665.0	...
2371012	 1943.0	 1079.0	  664.0	...
2371013	 1943.0	 1077.0	  664.0	...
2371014	 1943.0	 1076.0	  663.0	...
2371015	 1943.0	 1077.0	  662.0	...
2371016	 1943.0	 1077.0	  661.0	...
2371017	 1943.0	 1078.0	  662.0	...
2371018	 1943.0	 1078.0	  662.0	...
2371019	 1942.0	 1078.0	  664.0	...
2371020	 1943.0	 1078.0	  665.0	...
2371021	 1943.0	 1078.0	  665.0	...
2371022	 1943.0	 1080.0	  665.0	...
2371023	 1942.0	 1082.0	  665.0	...
2371024	 1942.0	 1083.0	  665.0	...
2371025	 1941.0	 1083.0	  665.0	...
2371026	 1941.0	 1082.0	  664.0	...
2371027	 1941.0	 1082.0	  663.0	...
2371028	 1942.0	 1081.0	  661.0	...
2371029	 1943.0	 1081.0	  660.0	...
2371030	 1943.0	 1080.0	  660.0	...
2371031	 1943.0	 1081.0	  660.0	...
2371032	 1942.0	 1081.0	  661.0	...
2371033	 1942.0	 1081.0	  661.0	...
2371034	 1942.0	 1080.0	  661.0	...
2371035	 1943.0	 1080.0	  660.0	...
2371036	 1943.0	 1080.0	  660.0	...
2371037	 1942.0	 1081.0	  660.0	...
2371038	 1941.0	 1082.0	  660.0	...
2371039	 1941.0	 1082.0	  661.0	...
2371040	 1940.0	 1082.0	  662.0	...
2371041	 1941.0	 1083.0	  662.0	...
2371042	 1941.0	 1084.0	  662.0	...
